chat_message,category
"Thanks for the help, guildies!",not_spam
gild meeting tonight at 8 PM.,not_spam
"Hello player, this is official support. Your account is at risk. Visit: http://claim-reward.net/claim",spam
What's everyone doing tonight?,not_spam
Free gold for everyone! Click here to claim: discord-giveaway.com,spam
LOL that was hilarious.,not_spam
Is anyone else having trouble with the game? This site helped me: http://freeitems.online/claim pls,spam
Anyone queueing for arenas?,not_spam
We found a bug that gives items. DM the link http://claim-reward.net/claim to get it.,spam
no,not_spam
Legendary item giveaway! Only 100 left! Visit: http://gamekeys.xyz/claim,spam
Important: Account merge required. Log in to http://secure-verify.org/claim to prevent deletion.,spam
GG close game.,not_spam
yep,not_spam
Is raid starting at 9 or 10?,not_spam
Win $1000 playing Azeron! Enter here: http://account-verify.net/claim pls,spam
Get free Valoria with this program: http://discord-giveaway.com/claim,spam
GM event! Double XP for 24 hours! Claim your bonus here: http://win-cash.io/claim,spam
Welcome new members!,not_spam
brb,not_spam
We found a bug that gives items. DM the link http://game-event.co/claim to get it.,spam
"Good game, team!",not_spam
"Hey, check out this cool new fan site for StormBringers! secure-verify.org",spam
Join our private giveaway at http://game-event.co/claim — winners announced soon! pls,spam
Is anyone else having trouble with the game? This site helped me: http://gamekeys.xyz/claim,spam
[GM] Notice: We are conducting an audit. Please confirm your details: http://gamekeys.xyz/claim,spam
Legendary item giveaway! Only 100 left! Visit: http://win-cash.io/claim pls,spam
afk,not_spam
"Just finished the main story, wow!",not_spam
Follow this to recover your lost skins: game-event.co,spam
Free gold for everyone! Click here to claim: http://claim-reward.net/claim,spam
Where's the best place to farm Elder Wyrm?,not_spam
Claim your free copy of StormBringers here: http://win-cash.io/claim,spam
We found a bug that gives items. DM the link http://freeitems.online/claim to get it.,spam
GM event! Double XP for 24 hours! Claim your bonus here: http://secure-verify.org/claim pls,spam
That boss mechanics are insane.,not_spam
"Good game, team!",not_spam
no,not_spam
Win $1000 playing StormBringers! Enter here: http://gamekeys.xyz/claim,spam
Claim your free copy of EclipseOnline here: http://game-event.co/claim,spam
Legendary item giveaway! Only 100 left! Visit: http://game-event.co/claim,spam
"Hello player, this is official support. Your account is at risk. Visit: http://discord-giveaway.com/claim",spam
LFG for Lich King raid. :),not_spam
Trade: I have Shadowlands for sale.,not_spam
Where's the best place to farm Healer69?,not_spam
Anyone wanna do a dungeon run?,not_spam
"Hello player, this is official support. Your account is at risk. Visit: http://account-verify.net/claim",spam
Report Elder Wyrm for griefing.,not_spam
Report Crafting Mat for griefing.,not_spam
Can anyone help me with this quest?,not_spam
"Hello player, this is official support. Your account is at risk. Visit: secure-verify.org",spam
WTS HeroesFall for 100g.,not_spam
...,not_spam
Follow this to recover your lost skins: game-event.co,spam
ok,not_spam
Claim your free copy of RealmQuest here: http://loot-claim.biz/claim,spam
"I'm quitting, giving away all my items. First come, first served! account-verify.net",spam
My friend made this awesome guide! It's at gamekeys.xyz,spam
Can anyone help me with this quest?,not_spam
I need 5 more Void Titan for the crafting recipe.,not_spam
[GM] Notice: We are conducting an audit. Please confirm your details: http://game-event.co/claim pls,spam
Cash prizes for top players! Register now: http://game-event.co/claim,spam
Security alert! Unauthorized login attempt. Change password at: http://secure-verify.org/claim,spam
Your account has been temporarily suspended. Appeal here: http://gamekeys.xyz/claim,spam
"I'm quitting, giving away all my items. First come, first served! http://claim-reward.net/claim",spam
Join our private giveaway at http://account-verify.net/claim — winners announced soon!,spam
Anyone wanna do a dungeon run?,not_spam
no,not_spam
That boss mechanics are insane.,not_spam
Is anyone else having trouble with the game? This site helped me: http://gamekeys.xyz/claim,spam
Our tank was amazing!,not_spam
Important: Account merge required. Log in to http://gamekeys.xyz/claim to prevent deletion.,spam
Can anyone help me with this quest?,not_spam
Anyone need invites to the guild bank?,not_spam
lag,not_spam
"Good game, team!",not_spam
brb,not_spam
Free gold for everyone! Click here to claim: http://game-event.co/claim,spam
Click here to get a rare mount instantly: win-cash.io,spam
Get free HeroesFall with this program: http://account-verify.net/claim,spam
WTB Epic Sword PM offers.,not_spam
Our tank was amazing!,not_spam
I need 5 more Potion for the crafting recipe.,not_spam
"Hey, check out this cool new fan site for Valoria! http://secure-verify.org/claim",spam
"Hey everyone, how's it going?",not_spam
Anyone need invites to the guild bank?,not_spam
Is this quest bugged for anyone else?,not_spam
[Healer69] Where's the best place to farm Gold?,not_spam
"Just finished the main story, wow!",not_spam
anyone up for PvP?,not_spam
no :),not_spam
Reset your password here now: win-cash.io,spam
Claim your free copy of EclipseOnline here: http://discord-giveaway.com/claim,spam
Free gold for everyone! Click here to claim: http://freegold.ru/claim,spam
...,not_spam
What's the lore behind this zone?,not_spam
Your account has been detected for suspicious activity. Verify here: http://discord-giveaway.com/claim,spam
WTB Diamonds PM offers.,not_spam
Follow this to recover your lost skins: http://claim-reward.net/claim,spam
Important: Account merge required. Log in to http://claim-reward.net/claim to prevent deletion.,spam
Guild meeting tonight at 8 PM.,not_spam
What's everyone doing tonight?,not_spam
New game beta keys! Limited supply! Get yours at http://discord-giveaway.com/claim,spam
I need 5 more xXShadowXx for the crafting recipe.,not_spam
Is anyone else having trouble with the game? This site helped me: http://claim-reward.net/claim,spam
Your account has been temporarily suspended. Appeal here: http://account-verify.net/claim,spam
afk :),not_spam
[GM] Notice: We are conducting an audit. Please confirm your details: http://freeitems.online/claim,spam
GG close game.,not_spam
"Hey, check out this cool new fan site for EclipseOnline! http://discord-giveaway.com/claim",spam
Is anyone else having trouble with the game? This site helped me: http://secure-verify.org/claim,spam
We found a bug that gives items. DM the link http://freeitems.online/claim to get it.,spam
Can someone carry me through Shadowlands?,not_spam
afk :),not_spam
Is anyone else having trouble with the game? This site helped me: http://claim-reward.net/claim,spam
Best hack tool for unlimited items! Download now: http://freegold.ru/claim,spam
How do I get to Lich King?,not_spam
[GGWP] Anyone wanna do a dungeon run?,not_spam
Free gold for everyone! Click here to claim: http://secure-verify.org/claim,spam
"Due to server issues, we need to verify your password. Go to: http://freeitems.online/claim",spam
Legendary item giveaway! Only 100 left! Visit: http://gamekeys.xyz/claim,spam
We found a bug that gives items. DM the link freegold.ru to get it. pls,spam
GM_Alert: You have violated terms of service. Follow instructions at: http://freeitems.online/claim,spam
Is raid starting at 9 or 10?,not_spam
Is this quest bugged for anyone else?,not_spam
Guild meeting tonight at 8 PM.,not_spam
What's everyone doing tonight?,not_spam
"Hey, check out this cool new fan site for EclipseOnline! http://freeitems.online/claim",spam
Win $1000 playing EclipseOnline! Enter here: account-verify.net,spam
Get free HeroesFall with this program: http://freeitems.online/claim,spam
Anyone need invites to the guild bank?,not_spam
"Nice transmog, dude!",not_spam
Verify to claim your reward: http://secure-verify.org/claim,spam
"Due to server issues, we need to verify your password. Go to: win-cash.io",spam
Need help with Phoenix Feather boss.,not_spam
Claim your free copy of RealmQuest here: http://win-cash.io/claim,spam
Anyone wanna do a dungeon run?,not_spam
anyone up for PvP?,not_spam
"[Healer69] Nice transmog, dude! :)",not_spam
[GM] Notice: We are conducting an audit. Please confirm your details: http://account-verify.net/claim,spam
no,not_spam
GG close game.,not_spam
Need help with Rare Mount boss.,not_spam
anyone up for PvP?,not_spam
Verify to claim your reward: http://freegold.ru/claim,spam
...,not_spam
anyone up for PvP?,not_spam
"Nice transmog, dude!",not_spam
Verify to claim your reward: secure-verify.org,spam
Win $1000 playing Valoria! Enter here: http://freeitems.online/claim,spam
Get 99999 gold for free! Join our discord: http://freeitems.online/claim,spam
Is anyone else having trouble with the game? This site helped me: http://secure-verify.org/claim,spam
[GM] Notice: We are conducting an audit. Please confirm your details: http://secure-verify.org/claim pls,spam
We found a bug that gives items. DM the link http://freegold.ru/claim to get it.,spam
Can anyone help me with this quest?,not_spam
Win $1000 playing RealmQuest! Enter here: http://account-verify.net/claim,spam
New game beta keys! Limited supply! Get yours at http://secure-verify.org/claim,spam
ok,not_spam
WTS HeroesFall for 100g.,not_spam
"I'm quitting, giving away all my items. First come, first served! http://win-cash.io/claim",spam
nice,not_spam
no,not_spam
GM event! Double XP for 24 hours! Claim your bonus here: http://freegold.ru/claim,spam
Cash prizes for top players! Register now: http://game-event.co/claim,spam
Your account has been temporarily suspended. Appeal here: http://claim-reward.net/claim,spam
That boss mechanics are insane.,not_spam
How do I get to Rare Mount?,not_spam
Free gold for everyone! Click here to claim: http://account-verify.net/claim,spam
Claim your free copy of Shadowlands here: secure-verify.org,spam
Need help with Crafting Mat boss.,not_spam
Legendary item giveaway! Only 100 left! Visit: freeitems.online,spam
Anyone queueing for arenas?,not_spam
Click here to get a rare mount instantly: http://gamekeys.xyz/claim pls,spam
Our tank was amazing!,not_spam
New game beta keys! Limited supply! Get yours at http://freeitems.online/claim,spam
We found a bug that gives items. DM the link http://gamekeys.xyz/claim to get it.,spam
Get free Azeron with this program: http://gamekeys.xyz/claim,spam
I need 5 more Void Titan for the crafting recipe.,not_spam
ok,not_spam
Can anyone help me with this quest?,not_spam
What's everyone doing tonight?,not_spam
I need 5 more TankMaster for the crafting recipe.,not_spam
any1 wanna do a dungeon run?,not_spam
Where's the best place to farm Void Titan? :),not_spam
Unlock premium skins at http://freegold.ru/claim,spam
Is raid starting at 9 or 10?,not_spam
My friend made this awesome guide! It's at http://freeitems.online/claim,spam
ok,not_spam
Guild meeting tonight at 8 PM. :),not_spam
Security alert! Unauthorized login attempt. Change password at: http://claim-reward.net/claim,spam
"Just finished the main story, wow!",not_spam
"Thanks for the help, guildies!",not_spam
Is this quest bugged for anyone else?,not_spam
afk,not_spam
GM event! Double XP for 24 hours! Claim your bonus here: claim-reward.net pls,spam
Is raid starting at 9 or 10?,not_spam
Is raid starting at 9 or 10?,not_spam
anyone up for PvP?,not_spam
Your account has been detected for suspicious activity. Verify here: http://gamekeys.xyz/claim,spam
GM_Alert: You have violated terms of service. Follow instructions at: http://game-event.co/claim,spam
Official patch download: http://claim-reward.net/claim,spam
Click here to get a rare mount instantly: http://secure-verify.org/claim,spam
[GM] Notice: We are conducting an audit. Please confirm your details: http://account-verify.net/claim,spam
Free gold for everyone! Click here to claim: http://freeitems.online/claim,spam
"Hello player, this is official support. Your account is at risk. Visit: http://loot-claim.biz/claim",spam
WTB Shadowlands PM offers. :),not_spam
"Hello player, this is official support. Your account is at risk. Visit: http://game-event.co/claim",spam
Can anyone help me with this quest?,not_spam
"Due to server issues, we need to verify your password. Go to: http://game-event.co/claim",spam
"Just finished the main story, wow!",not_spam
Follow this to recover your lost skins: http://account-verify.net/claim,spam
New game beta keys! Limited supply! Get yours at http://claim-reward.net/claim,spam
Need help with SneakyPete boss.,not_spam
Claim your free copy of EclipseOnline here: http://gamekeys.xyz/claim,spam
Welcome new members!,not_spam
no,not_spam
Follow this to recover your lost skins: http://game-event.co/claim,spam
Can someone carry me through ProCarry?,not_spam
"I'm quitting, giving away all my items. First come, first served! http://claim-reward.net/claim",spam
Trade: I have StormBringers for sale.,not_spam
Can anyone help me with this quest?,not_spam
Your account has been detected for suspicious activity. Verify here: http://game-event.co/claim,spam
GM event! Double XP for 24 hours! Claim your bonus here: http://freegold.ru/claim,spam
"Hello player, this is official support. Your account is at risk. Visit: http://freeitems.online/claim",spam
afk,not_spam
brb :),not_spam
Can someone carry me through Mystic Ore?,not_spam
LOL that was hilarious.,not_spam
Selling rare mount. Whisper me.,not_spam
Selling rare mount. Whisper me.,not_spam
GM_Alert: You have violated terms of service. Follow instructions at: http://discord-giveaway.com/claim,spam
"Due to server issues, we need to verify your password. Go to: http://freegold.ru/claim",spam
"Due to server issues, we need to verify your password. Go to: http://game-event.co/claim",spam
GM event! Double XP for 24 hours! Claim your bonus here: http://freeitems.online/claim,spam
Claim your free copy of EclipseOnline here: http://discord-giveaway.com/claim,spam
Legendary item giveaway! Only 100 left! Visit: http://discord-giveaway.com/claim,spam
Official patch download: win-cash.io,spam
Official patch download: http://win-cash.io/claim,spam
nice,not_spam
afk,not_spam
Join our private giveaway at http://loot-claim.biz/claim — winners announced soon!,spam
Anyone got extra Diamonds to sell?,not_spam
Claim your free copy of EclipseOnline here: http://account-verify.net/claim,spam
"Due to server issues, we need to verify your password. Go to: http://discord-giveaway.com/claim",spam
Join our private giveaway at http://discord-giveaway.com/claim — winners announced soon!,spam
I need 5 more Valoria for the crafting recipe.,not_spam
GM_Alert: You have violated terms of service. Follow instructions at: http://gamekeys.xyz/claim,spam
Get 99999 gold for free! Join our discord: http://discord-giveaway.com/claim,spam
Guild meeting tonight at 8 PM.,not_spam
"Nice transmog, dude!",not_spam
Important: Account merge required. Log in to http://gamekeys.xyz/claim to prevent deletion.,spam
Join our private giveaway at http://secure-verify.org/claim — winners announced soon!,spam
?,not_spam
"Due to server issues, we need to verify your password. Go to: http://secure-verify.org/claim",spam
nice,not_spam
"Thanks for the help, guildies!",not_spam
I need 5 more Dragon Scale for the crafting recipe.,not_spam
Can anyone help me with this quest?,not_spam
Join our private giveaway at http://account-verify.net/claim — winners announced soon!,spam
"Hey, check out this cool new fan site for Valoria! http://loot-claim.biz/claim",spam
Anyone queueing for arenas?,not_spam
"I'm quitting, giving away all my items. First come, first served! secure-verify.org",spam
Legendary item giveaway! Only 100 left! Visit: http://gamekeys.xyz/claim,spam
"Due to server issues, we need to verify your password. Go to: http://discord-giveaway.com/claim",spam
"Due to server issues, we need to verify your password. Go to: http://freeitems.online/claim",spam
WTS Crafting Mat for 100g.,not_spam
[GM] Notice: We are conducting an audit. Please confirm your details: http://gamekeys.xyz/claim,spam
What's the lore behind this zone?,not_spam
Security alert! Unauthorized login attempt. Change password at: http://freeitems.online/claim,spam
GG close game.,not_spam
[ProCarry] Auction house prices are crazy today. :),not_spam
...,not_spam
"Hey, check out this cool new fan site for Shadowlands! http://game-event.co/claim pls",spam
"Hey everyone, how's it going?",not_spam
WTB Lich King's Crown PM offers.,not_spam
I need 5 more Diamonds for the crafting recipe. :),not_spam
Reset your password here now: freeitems.online,spam
Unlock premium skins at http://freegold.ru/claim,spam
Can someone carry me through Crimson Hydra?,not_spam
I need 5 more Crimson Hydra for the crafting recipe.,not_spam
Reset your password here now: win-cash.io,spam
nice,not_spam
We found a bug that gives items. DM the link http://claim-reward.net/claim to get it.,spam
Your account has been detected for suspicious activity. Verify here: http://freegold.ru/claim,spam
Trade: I have Potion for sale.,not_spam
Follow this to recover your lost skins: discord-giveaway.com,spam
Get free Shadowlands with this program: http://claim-reward.net/claim,spam
Important: Account merge required. Log in to http://gamekeys.xyz/claim to prevent deletion.,spam
brb,not_spam
[GM] Notice: We are conducting an audit. Please confirm your details: win-cash.io,spam
Security alert! Unauthorized login attempt. Change password at: http://freegold.ru/claim,spam
"Hey, check out this cool new fan site for EclipseOnline! win-cash.io",spam
"Good game, team!",not_spam
That boss mechanics are insane.,not_spam
LFG for Void Titan raid.,not_spam
Your account has been detected for suspicious activity. Verify here: http://gamekeys.xyz/claim,spam
"Due to server issues, we need to verify your password. Go to: gamekeys.xyz",spam
GM event! Double XP for 24 hours! Claim your bonus here: http://loot-claim.biz/claim,spam
New game beta keys! Limited supply! Get yours at http://gamekeys.xyz/claim,spam
Win $1000 playing Valoria! Enter here: http://loot-claim.biz/claim,spam
Important: Account merge required. Log in to http://freeitems.online/claim to prevent deletion. pls,spam
"Hello player, this is official support. Your account is at risk. Visit: http://freeitems.online/claim",spam
no,not_spam
GM_Alert: You have violated terms of service. Follow instructions at: http://game-event.co/claim,spam
Follow this to recover your lost skins: http://freegold.ru/claim,spam
Anyone need invites to the guild bank?,not_spam
Cash prizes for top players! Register now: http://loot-claim.biz/claim,spam
Auction house prices are crazy today.,not_spam
Security alert! Unauthorized login attempt. Change password at: http://freeitems.online/claim,spam
"Just finished the main story, wow!",not_spam
WTS TankMaster for 100g.,not_spam
"Due to server issues, we need to verify your password. Go to: freeitems.online",spam
afk,not_spam
Anyone queueing for arenas?,not_spam
Trade: I have Epic Sword for sale.,not_spam
Anyone need invites to the guild bank?,not_spam
LFG for HeroesFall raid.,not_spam
What's the lore behind this zone?,not_spam
"Due to server issues, we need to verify your password. Go to: http://win-cash.io/claim",spam
Anyone need invites to the guild bank?,not_spam
Follow this to recover your lost skins: http://account-verify.net/claim pls,spam
How do I get to Gold?,not_spam
?,not_spam
Auction house prices are crazy today.,not_spam
Auction house prices are crazy today.,not_spam
How do I get to RealmQuest?,not_spam
Follow this to recover your lost skins: discord-giveaway.com,spam
Important: Account merge required. Log in to http://gamekeys.xyz/claim to prevent deletion.,spam
GM event! Double XP for 24 hours! Claim your bonus here: claim-reward.net,spam
Get free Shadowlands with this program: http://freeitems.online/claim,spam
Who wants to 1v1?,not_spam
no,not_spam
brb,not_spam
any1 up for PvP?,not_spam
"I'm quitting, giving away all my items. First come, first served! http://claim-reward.net/claim",spam
Guild meeting tonight at 8 PM.,not_spam
ok,not_spam
Your account has been temporarily suspended. Appeal here: http://freegold.ru/claim,spam
Official patch download: http://account-verify.net/claim,spam
"I'm quitting, giving away all my items. First come, first served! http://freeitems.online/claim",spam
Is anyone else having trouble with the game? This site helped me: http://game-event.co/claim,spam
[NoobSlayer] Guild meeting tonight at 8 PM.,not_spam
LFG for Gold raid.,not_spam
[TankMaster] no,not_spam
Reminder: Flasks for rajd!,not_spam
I need 5 more Elder Wyrm for the crafting recipe.,not_spam
Verify to claim your reward: http://loot-claim.biz/claim,spam
New game beta keys! Limited supply! Get yours at http://discord-giveaway.com/claim,spam
[GM] Notice: We are conducting an audit. Please confirm your details: http://gamekeys.xyz/claim,spam
"Hello player, this is official support. Your account is at risk. Visit: http://account-verify.net/claim",spam
Anyone queueing for arenas?,not_spam
How do I get to Lich King's Crown?,not_spam
Legendary item giveaway! Only 100 left! Visit: http://loot-claim.biz/claim,spam
...,not_spam
That boss mechanics are insane.,not_spam
Get 99999 gold for free! Join our discord: http://win-cash.io/claim,spam
Unlock premium skins at http://freeitems.online/claim,spam
[GM] Notice: We are conducting an audit. Please confirm your details: http://secure-verify.org/claim,spam
GM event! Double XP for 24 hours! Claim your bonus here: http://gamekeys.xyz/claim,spam
Is anyone else having trouble with the game? This site helped me: freegold.ru,spam
Legendary item giveaway! Only 100 left! Visit: http://freeitems.online/claim,spam
Anyone wanna do a dungeon run?,not_spam
Anyone wanna do a dungeon run?,not_spam
Can someone carry me through StormBringers?,not_spam
We found a bug that gives items. DM the link http://freegold.ru/claim to get it.,spam
Can anyone help me with this quest?,not_spam
nice,not_spam
Is anyone else having trouble with the game? This site helped me: http://gamekeys.xyz/claim,spam
GM event! Double XP for 24 hours! Claim your bonus here: http://claim-reward.net/claim,spam
Your account has been detected for suspicious activity. Verify here: http://loot-claim.biz/claim,spam
Your account has been temporarily suspended. Appeal here: http://discord-giveaway.com/claim,spam
Your account has been temporarily suspended. Appeal here: http://game-event.co/claim,spam
My friend made this awesome guide! It's at http://account-verify.net/claim,spam
Legendary item giveaway! Only 100 left! Visit: http://account-verify.net/claim,spam
"Hello player, this is official support. Your account is at risk. Visit: http://secure-verify.org/claim",spam
Follow this to recover your lost skins: http://gamekeys.xyz/claim,spam
Report RealmQuest for griefing.,not_spam
...,not_spam
lag,not_spam
Reset your password here now: loot-claim.biz,spam
no,not_spam
Get free HeroesFall with this program: http://game-event.co/claim,spam
Your account has been temporarily suspended. Appeal here: http://freegold.ru/claim,spam
That boss mechanics are insane. :),not_spam
Unlock premium skins at http://discord-giveaway.com/claim pls,spam
Official patch download: http://loot-claim.biz/claim,spam
"Nice transmog, dude!",not_spam
What's the lore behind this zone?,not_spam
GM_Alert: You have violated terms of service. Follow instructions at: http://claim-reward.net/claim,spam
Best hack tool for unlimited items! Download now: http://freeitems.online/claim,spam
Official patch download: http://claim-reward.net/claim,spam
Anyone need invites to the guild bank?,not_spam
My friend made this awesome guide! It's at http://claim-reward.net/claim,spam
"Just finished the main story, wow! :)",not_spam
"Hey, check out this cool new fan site for Azeron! http://game-event.co/claim",spam
Our tank was amazing!,not_spam
brb,not_spam
[GM] Notice: We are conducting an audit. Please confirm your details: http://freegold.ru/claim,spam
GM_Alert: You have violated terms of service. Follow instructions at: http://win-cash.io/claim,spam
I need 5 more xXShadowXx for the crafting recipe.,not_spam
Free gold for everyone! Click here to claim: http://secure-verify.org/claim,spam
"Hey, check out this cool new fan site for RealmQuest! http://game-event.co/claim pls",spam
Report StormBringers for griefing.,not_spam
Auction house prices are crazy today.,not_spam
nice,not_spam
Reminder: Flasks for raid!,not_spam
Trade: I have Dragon Scale for sale.,not_spam
Best hack tool for unlimited items! Download now: http://freeitems.online/claim,spam
Click here to get a rare mount instantly: http://win-cash.io/claim,spam
nice,not_spam
Legendary item giveaway! Only 100 left! Visit: http://freegold.ru/claim,spam
GM_Alert: You have violated terms of service. Follow instructions at: http://freeitems.online/claim pls,spam
Verify to claim your reward: http://freeitems.online/claim,spam
Verify to claim your reward: http://freeitems.online/claim,spam
Report RealmQuest for griefing.,not_spam
LOL that was hilarious.,not_spam
Where's the best place to farm Elder Wyrm?,not_spam
Join our private giveaway at http://secure-verify.org/claim — winners announced soon!,spam
Important: Account merge required. Log in to http://gamekeys.xyz/claim to prevent deletion.,spam
[GM] Notice: We are conducting an audit. Please confirm your details: game-event.co,spam
"Hello player, this is official support. Your account is at risk. Visit: http://game-event.co/claim",spam
Get free HeroesFall with this program: http://freegold.ru/claim,spam
Anyone need invites to the guild bank?,not_spam
Get 99999 gold for free! Join our discord: http://secure-verify.org/claim pls,spam
afk,not_spam
LFG for Crafting Mat raid.,not_spam
Is anyone else having trouble with the game? This site helped me: http://freegold.ru/claim pls,spam
Security alert! Unauthorized login attempt. Change password at: http://loot-claim.biz/claim,spam
Security alert! Unauthorized login attempt. Change password at: http://freegold.ru/claim,spam
"Due to server issues, we need to verify your password. Go to: http://win-cash.io/claim pls",spam
no,not_spam
Reset your password here now: http://claim-reward.net/claim,spam
WTS Valoria for 100g. :),not_spam
What's the lore behind this zone?,not_spam
Anyone got extra Crafting Mat to sell?,not_spam
Welcome new members!,not_spam
Reminder: Flasks for raid!,not_spam
"Hey everyone, how's it going?",not_spam
Free gold for everyone! Click here to claim: http://gamekeys.xyz/claim pls,spam
"Due to server issues, we need to verify your password. Go to: http://claim-reward.net/claim",spam
Security alert! Unauthorized login attempt. Change password at: http://claim-reward.net/claim,spam
My friend made this awesome guide! It's at http://account-verify.net/claim,spam
Report TankMaster for griefing.,not_spam
Your account has been temporarily suspended. Appeal here: http://claim-reward.net/claim,spam
Best hack tool for unlimited items! Download now: http://claim-reward.net/claim,spam
lag,not_spam
LOL that was hilarious.,not_spam
"Hello player, this is official support. Your account is at risk. Visit: account-verify.net",spam
Anyone need invites to the guild bank?,not_spam
Reset your password here now: http://discord-giveaway.com/claim,spam
Auction house prices are crazy today.,not_spam
Can someone carry me through Lich King? :),not_spam
Auction house prices are crazy today. :),not_spam
ok,not_spam
I need 5 more Void Titan for the crafting recipe.,not_spam
yep,not_spam
We found a bug that gives items. DM the link http://claim-reward.net/claim to get it.,spam
"I'm quitting, giving away all my items. First come, first served! http://secure-verify.org/claim",spam
afk,not_spam
brb,not_spam
afk,not_spam
Claim your free copy of Shadowlands here: http://freegold.ru/claim,spam
Who wants to 1v1?,not_spam
Reminder: Flasks for raid!,not_spam
We found a bug that gives items. DM the link http://discord-giveaway.com/claim to get it.,spam
"Hey everyone, how's it going?",not_spam
Anyone need invites to the guild bank?,not_spam
Anyone queueing for arenas?,not_spam
Security alert! Unauthorized login attempt. Change password at: http://discord-giveaway.com/claim,spam
New game beta keys! Limited supply! Get yours at http://gamekeys.xyz/claim,spam
Report Diamonds for griefing.,not_spam
How do I get to HeroesFall?,not_spam
Where's the best place to farm Potion?,not_spam
Your account has been temporarily suspended. Appeal here: http://account-verify.net/claim,spam
Legendary item giveaway! Only 100 left! Visit: http://secure-verify.org/claim,spam
Get 99999 gold for free! Join our discord: discord-giveaway.com,spam
LOL that was hilarious.,not_spam
Selling rare mount. Whisper me.,not_spam
Get 99999 gold for free! Join our discord: http://discord-giveaway.com/claim,spam
Anyone queueing for arenas?,not_spam
Is raid starting at 9 or 10?,not_spam
Click here to get a rare mount instantly: http://loot-claim.biz/claim,spam
Security alert! Unauthorized login attempt. Change password at: http://game-event.co/claim,spam
Anyone got extra ProCarry to sell?,not_spam
Welcome new members!,not_spam
Get free Shadowlands with this program: http://account-verify.net/claim,spam
nice,not_spam
Important: Account merge required. Log in to http://discord-giveaway.com/claim to prevent deletion.,spam
"Hey, check out this cool new fan site for Azeron! http://freegold.ru/claim",spam
Can anyone help me with this quest?,not_spam
Official patch download: http://discord-giveaway.com/claim,spam
WTS Epic Sword for 100g.,not_spam
Follow this to recover your lost skins: secure-verify.org,spam
"Due to server issues, we need to verify your password. Go to: http://freegold.ru/claim",spam
